object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
Location,0,DI,1,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in whole system (Location)
Location,0,DI,2,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in whole system (Location)
Location,0,IR,1,1,1,Address space major version,R,val_u1,YES,YES,YES,= 3 (Incremented on incompatible change)
Location,0,IR,2,1,2,Address space minor version,R,val_u1,CHANGED,CHANGED,YES,= 1 (Incremented on compatible change)
Location,0,IR,10,1,10,Dev type,R,val_u1,YES,YES,YES,1 - CCU-208 2 - DHW-201 (Calefa)
Location,0,IR,11,1,11,Dev hw version,R,val_u1,YES,YES,YES,
Location,0,IR,12,1,12,Dev sw version,R,val_u1,YES,YES,YES,
Location,0,IR,13,1,13,Dev sw version minor,R,val_u1,YES,YES,YES,
Location,0,IR,14,1,14,Dev serial number prefix,R,val_u2,YES,YES,YES,= 1530
Location,0,IR,15,2,15,Dev serial number,R,val_u4,YES,YES,YES,
Location,0,IR,20,1,20,Heating/Cooling mode,R,val_u1,YES,YES,YES,0 - HEATING 1 - COOLING
Location,0,HR,1,1,1,Address space major version,R/W,val_u1,YES,YES,YES,= 3 (Incremented on incompatible change)
Location,0,HR,2,1,2,Address space minor version,R/W,val_u1,YES,YES,YES,= 1 (Incremented on compatible change)
Location,0,HR,3,1,3,Modbus slave address,R/W,val_u1,YES,YES,YES,Allowed values: 1 to 247 Default: 1
Location,0,HR,4,1,4,Modbus baudrate,R/W,val_u2,YES,YES,YES,"Allowed values: 9600, 19200, 38400, 57600 Default:19200"
Location,0,HR,5,1,5,Modbus mode,R/W,val_u1,YES,YES,YES,0 DISABLED 1 READ_ONLY 2 READ_WRITE 3 WRITE_WITH_PASSWORD Default: 0
Location,0,HR,6,1,6,Modbus password,W,val_u2,YES,YES,YES,"When Modbus mode = WRITE_WITH_PASSWORD, the write commands are disabled until this register is written by a valid password. Once the password is written, the the write comands are accepted for next 11 minutes. Then the password has to be set again. Two steps are required for password change: 1. Write the old password 2. Write the new password before 11 minutes elapses. Default password: 1234, Write only, range for password is 1 - 65534"
Location,0,HR,7,1,7,Modbus parity,R/W,val_u1,YES,YES,YES,0 - NONE 1 - ODD 2 - EVEN
